id_cliente,documento,fecha_registro,segmento,ciudad,score_crediticio
1,75682867,2023-02-20,C,MEDELLÍN,1006
2,31081788,2025-10-21,VIP,BOGOTÁ,320
3,36735830,2022-01-29,PREMIUM,BOGOTÁ,630
4,41632483N,2022-06-28,VIP,BOGOTÁ,430
5,14981505,2022-03-15,VIP,BOGOTA,643
6,13344769,2023-07-10,C,BOGOTÁ,491
7,86893497,2025-06-12,PREMIUM,CALI,321
8,52860080,2023-03-05,PREMIUM ,CALI,774
9,72250665,2024-03-22,C,CALI,775
10,70221198,2023-07-08,VIP,BARRANQUILLA,489
11,26861870,2023-11-11,PREMIUM,BOGOTÁ,543
12,75285250,2024-05-14,VIP,CALI,784
13,71306900,2022-08-02,A,BOGOTÁ,466
14,58900483,2026-02-06,A,MEDELLÍN,615
15,54738553,2024-08-04,PREMIUM,BOGOTÁ,645
16,62157313,2025-11-20,C,MEDELLÍN,639
17,21392366,2022-03-01,VIP,BOGOTÁ,754
18,98883975,2025-07-29,VIP,BOGOTÁ,334
19,78979792,2023-05-01,C,BOGOTÁ,687
20,91200125,2024-08-03,C,BOGOTÁ,689
21,76401385,2024-03-19,C,BARRANQUILLA,776
22,62631083,2025-08-02,VIP,BOGOTÁ,461
23,95157821,2023-11-27,PREMIUM,BOGOTÁ,569
24,70304654,2022-01-26,B,BOGOTÁ,755
25,46433622,2023-05-10,VIP,BARRANQUILLA,551
26,65105831,2023-09-25,B,MEDELLÍN,637
27,79739572,2024-01-18,A,BOGOTÁ,516
28,67055419,2024-10-15,VIP,BARRANQUILLA,679
29,78394024,2026-02-05,VIP,BARRANQUILLA,456
30,48727468,2024-09-17,PREMIUM ,BOGOTÁ,364
31,95390464,2023-03-01,VIP,CALI,771
32,22719242,2024-07-07,C,BARRANQUILLA,798
33,54054178,2025-02-06,VIP,BOGOTÁ,1188
34,59583876,2025-07-04,B,BOGOTA,789
35,47407771,2025-08-03,C,BOGOTÁ,434
36,61327755,2023-03-16,C,MEDELLÍN,332
37,64079037,2024-04-07,VIP,BOGOTÁ,398
38,63933927,2023-07-05,A,CALI,846
39,44045666,2024-05-18,C,MEDELLÍN,761
40,56321408,2022-09-27,A,BOGOTÁ,304
41,84023414,2023-10-03,PREMIUM ,BOGOTA,697
42,49443226,2025-07-28,PREMIUM,BOGOTA,692
43,83619289,2023-10-10,VIP,BARRANQUILLA,760
44,59007334,2024-08-05,PREMIUM ,BOGOTÁ,540
45,13331068,2024-10-23,PREMIUM,BOGOTÁ,395
46,55816038,2024-08-28,VIP,BARRANQUILLA,470
47,53156515,2022-11-24,C,BOGOTÁ,824
48,31970758,2023-02-06,B,BOGOTÁ,542
49,33484187,2022-05-28,B,BOGOTÁ,327
50,85415325,2022-05-20,A,BOGOTA,630
51,63892568,2025-08-14,B,BOGOTA,530
52,80016224,2022-04-21,VIP,BOGOTA,684
53,99583549,2022-05-09,PREMIUM ,BARRANQUILLA,558
54,46102853,2022-03-18,PREMIUM,CALI,755
55,57936136,2022-09-20,VIP,BOGOTÁ,617
56,93375337,2022-01-16,A,BOGOTÁ,673
57,76653416,2024-12-05,PREMIUM ,BOGOTÁ,412
58,17654909,2022-04-11,PREMIUM,MEDELLÍN,685
59,94302960,2024-03-23,B,BOGOTÁ,380
60,77922032,2024-05-19,VIP,BOGOTÁ,301
61,30560091,2025-01-31,PREMIUM ,BOGOTÁ,524
62,99386386,2023-03-11,PREMIUM ,MEDELLÍN,429
63,98917675,2025-06-18,B,BARRANQUILLA,715
64,78227907,2025-08-01,A,BARRANQUILLA,738
65,91121402,2024-01-15,PREMIUM,CALI,700
66,16659908,2023-06-14,PREMIUM ,BOGOTA,497
67,29433354,2024-01-30,B,CALI,810
68,83422991,2022-12-30,VIP,BOGOTA,500
69,45213498,2024-11-13,A,BOGOTA,625
70,50910172,2022-05-22,VIP,MEDELLÍN,702
71,61939266,2025-09-26,PREMIUM ,MEDELLÍN,810
72,31114003,2023-08-06,PREMIUM ,MEDELLÍN,788
73,60402943,2023-10-02,VIP,MEDELLÍN,637
74,63777024,2025-09-22,A,BARRANQUILLA,772
75,53799966,2025-06-02,C,CALI,597
76,26037627,2025-03-11,B,CALI,443
77,67631343,2023-09-07,C,BARRANQUILLA,301
78,42797855,2022-09-12,A,BOGOTÁ,308
79,33448674,2022-12-23,A,BOGOTÁ,507
80,64006163,2025-12-28,B,CALI,451
81,64847136,2022-03-07,C,CALI,719
82,64710375,2022-09-18,VIP,CALI,553
83,43163773,2025-11-13,VIP,BOGOTA,772
84,31104792J,2023-11-21,VIP,BOGOTÁ,637
85,56918818,2023-12-12,A,BOGOTÁ,460
86,65403796,2022-04-06,C,BOGOTA,803
87,33508102,2025-01-15,VIP,BOGOTÁ,494
88,34947744,2023-07-11,C,BOGOTÁ,759
89,58673237,2023-04-11,C,BOGOTÁ,674
90,28298917X,2022-05-03,C,MEDELLÍN,529
91,87275698,2022-07-24,PREMIUM,BOGOTA,737
92,68245345E,2023-12-15,VIP,MEDELLÍN,576
93,96343264,2023-09-25,VIP,BOGOTA,583
94,97692768,2023-05-07,C,CALI,752
95,25900476,2024-08-22,PREMIUM ,BOGOTÁ,815
96,89688895,2026-02-03,B,BOGOTÁ,348
97,22707035,2024-10-31,PREMIUM ,BARRANQUILLA,457
98,46998516,2025-11-13,B,MEDELLÍN,817
99,76385640,2025-05-16,PREMIUM,BOGOTÁ,336
100,88384476,2025-04-24,PREMIUM ,BARRANQUILLA,796
101,52058334,2024-03-22,PREMIUM ,MEDELLÍN,398
102,49769056,2025-08-13,A,BARRANQUILLA,415
103,53369428,2022-08-20,B,MEDELLÍN,460
104,80995266,2026-02-02,C,MEDELLÍN,427
105,94574185,2024-04-05,PREMIUM,CALI,622
106,24716695,2023-10-20,PREMIUM ,CALI,587
107,73981206,2024-10-18,VIP,BOGOTA,454
108,20192257,2025-06-19,C,MEDELLÍN,1198
109,77607727,2024-01-23,A,BOGOTÁ,338
110,68114585,2024-09-13,PREMIUM ,CALI,707
111,92008891,2023-09-01,A,BARRANQUILLA,805
112,16512440,2024-04-06,A,BOGOTÁ,335
113,39093907,2024-09-26,PREMIUM ,BOGOTA,620
114,72460303,2022-12-11,VIP,BOGOTÁ,770
115,12503771,2023-11-09,VIP,CALI,653
116,14183839,2024-07-25,A,BOGOTÁ,350
117,66224957,2025-09-23,VIP,BARRANQUILLA,424
118,81531065,2025-04-21,VIP,MEDELLÍN,641
119,36191539,2023-05-24,PREMIUM,BOGOTÁ,353
120,18849851,2023-03-11,VIP,CALI,563
121,94890726,2024-01-08,C,CALI,495
122,97753580,2026-01-04,VIP,BOGOTÁ,649
123,61592034,2025-02-15,VIP,MEDELLÍN,568
124,80009467,2024-05-04,PREMIUM ,BOGOTÁ,405
125,99473854,2022-05-22,VIP,BOGOTÁ,357
126,88911293,2022-04-05,PREMIUM ,MEDELLÍN,426
127,14294539,2024-05-27,B,MEDELLÍN,357
128,10803328P,2023-01-05,VIP,BOGOTÁ,395
129,26953831,2023-09-07,VIP,MEDELLÍN,536
130,84583311,2024-03-18,PREMIUM,MEDELLÍN,488
131,87183765,2023-02-16,PREMIUM ,BOGOTÁ,546
132,25192217,2023-05-30,PREMIUM ,BOGOTÁ,734
133,71819576,2022-09-25,B,BOGOTÁ,584
134,73362116,2023-05-18,VIP,BOGOTA,346
135,60296557,2022-10-11,PREMIUM ,BARRANQUILLA,752
136,83706383,2024-11-03,VIP,BARRANQUILLA,517
137,30279846,2022-08-22,B,BOGOTÁ,588
138,82193785,2023-01-23,PREMIUM ,MEDELLÍN,821
139,70361505,2022-09-22,PREMIUM ,BOGOTA,479
140,75732489,2024-01-13,PREMIUM,BOGOTÁ,741
141,44907127,2024-09-22,C,CALI,624
142,44654999,2025-06-07,B,MEDELLÍN,635
143,58978079,2023-10-22,B,BOGOTÁ,774
144,65723671,2023-07-09,PREMIUM,BARRANQUILLA,679
145,71704882,2022-08-08,PREMIUM,BOGOTA,726
146,57685442,2023-03-21,PREMIUM ,BOGOTA,1067
147,45610155,2022-07-05,C,CALI,911
148,88262145,2024-10-09,PREMIUM ,BARRANQUILLA,552
149,47317456,2024-01-06,PREMIUM ,BOGOTA,389
150,54653148,2025-10-28,C,BARRANQUILLA,717
151,12597480,2023-11-17,VIP,BOGOTÁ,495
152,49673332,2023-02-17,PREMIUM ,BARRANQUILLA,792
153,20617244,2022-03-09,VIP,BOGOTÁ,675
154,60234072,2023-05-06,VIP,BOGOTÁ,576
155,13369720,2024-11-20,PREMIUM ,BARRANQUILLA,693
156,35856919,2024-02-12,C,MEDELLÍN,491
157,65395426,2023-06-18,PREMIUM,CALI,847
158,10070640,2024-04-28,C,BOGOTÁ,395
159,72976036,2025-05-17,A,CALI,668
160,29511512,2025-12-20,VIP,BOGOTÁ,572
161,69946863,2025-01-19,B,BOGOTÁ,641
162,98146618,2025-08-27,PREMIUM,BOGOTÁ,318
163,56547339,2022-09-12,PREMIUM,BOGOTÁ,744
164,24573458,2025-05-31,VIP,BOGOTA,375
165,39264326,2023-10-23,PREMIUM ,MEDELLÍN,683
166,39365614,2023-09-19,A,CALI,443
167,61371106,2023-04-08,PREMIUM,BARRANQUILLA,695
168,79872506,2022-12-03,VIP,BOGOTÁ,768
169,10197775,2025-11-03,VIP,CALI,338
170,33614649,2022-09-22,A,BOGOTA,697
171,27310852,2022-09-30,PREMIUM,BOGOTÁ,462
172,72989020,2024-05-03,C,BOGOTÁ,534
173,87273675,2023-02-18,A,BARRANQUILLA,308
174,41665404,2022-11-10,PREMIUM ,BARRANQUILLA,529
175,67849484,2025-09-03,VIP,BOGOTA,467
176,50201137,2026-01-22,PREMIUM ,BOGOTA,493
177,72182821,2022-05-03,PREMIUM ,BOGOTÁ,638
178,33020885,2024-09-27,B,BOGOTÁ,799
179,16200646,2022-07-06,PREMIUM ,BARRANQUILLA,516
180,24509187,2022-08-24,C,BOGOTÁ,369
181,65478034,2023-09-28,PREMIUM,MEDELLÍN,744
182,85524262,2024-03-08,C,BOGOTA,390
183,10448345,2026-01-12,A,BOGOTA,830
184,25814828,2023-03-06,VIP,BARRANQUILLA,519
185,83851335,2023-05-02,VIP,BARRANQUILLA,660
186,99630668,2025-08-14,PREMIUM ,BOGOTÁ,647
187,48503931,2022-03-20,VIP,MEDELLÍN,668
188,30812709,2025-10-09,PREMIUM,BOGOTA,416
189,99589817,2023-11-28,VIP,BOGOTA,472
190,79334164,2023-09-18,C,CALI,379
191,88998740,2024-01-18,B,CALI,502
192,58518372,2022-02-16,PREMIUM ,BOGOTÁ,526
193,52801198,2022-07-02,PREMIUM,CALI,532
194,45427853,2022-03-14,VIP,BOGOTA,442
195,20986868,2024-05-05,B,CALI,558
196,88815702,2022-06-07,A,BOGOTÁ,311
197,65454431,2023-06-24,A,BOGOTA,657
198,65860631,2023-04-25,VIP,BARRANQUILLA,672
199,67681017,2025-11-22,C,BARRANQUILLA,1063
200,66987271,2022-11-06,A,CALI,615
201,78452891,2024-02-11,PREMIUM ,BOGOTÁ,340
202,84993343,2023-07-07,VIP,BOGOTÁ,801
203,30814992,2023-08-06,VIP,CALI,500
204,31288948,2024-02-19,VIP,BARRANQUILLA,760
205,37345820,2022-08-23,B,BOGOTA,846
206,23021573,2024-03-13,C,BOGOTA,555
207,94461358,2026-02-10,VIP,BOGOTÁ,749
208,17136029,2022-08-25,PREMIUM ,MEDELLÍN,541
209,69994988,2023-01-04,A,MEDELLÍN,304
